datetime,open,close
1588616820000,160.53,160.59
1588616880000,160.59,160.58
1588616940000,160.59,160.58
1588617000000,160.58,160.5464
1588617060000,160.5401,160.5513
1588617120000,160.555,160.5137
1588617180000,160.53,160.58
1588617240000,160.56,160.51
1588617300000,160.51,160.51
1588617360000,160.505,160.45
1588617420000,160.45,160.47
1588617480000,160.4615,160.5
1588617540000,160.5,160.4566
1588617600000,160.4434,160.4747
1588617660000,160.47,160.495
1588617720000,160.51,160.49
1588617780000,160.5,160.45
1588617840000,160.46,160.474
1588617900000,160.47,160.4901
1588617960000,160.47,160.48
1588618020000,160.5,160.4999
1588618080000,160.49,160.515
1588618140000,160.5168,160.5269
1588618200000,160.53,160.5198
1588618260000,160.52,160.47
1588618320000,160.4699,160.46
1588618380000,160.48,160.54
1588618440000,160.55,160.57
1588618500000,160.56,160.55
1588618560000,160.53,160.5325
1588618620000,160.535,160.5555
1588618680000,160.5621,160.63
1588618740000,160.64,160.65
1588618800000,160.652,160.635
1588618860000,160.64,160.62
1588618920000,160.625,160.5993
1588618980000,160.605,160.6623
1588619040000,160.665,160.695
1588619100000,160.69,160.66
1588619160000,160.66,160.6
1588619220000,160.59,160.58
1588619280000,160.5701,160.56
1588619340000,160.555,160.565
1588619400000,160.56,160.555
1588619460000,160.55,160.57
1588619520000,160.58,160.545
1588619580000,160.54,160.57
1588619640000,160.565,160.548
1588619700000,160.54,160.52
1588619760000,160.525,160.51
1588619820000,160.51,160.5355
1588619880000,160.525,160.5171
1588619940000,160.51,160.515
1588620000000,160.52,160.505
1588620060000,160.495,160.51
1588620120000,160.5077,160.5001
1588620180000,160.5,160.52
1588620240000,160.525,160.5516
1588620300000,160.56,160.555
1588620360000,160.5537,160.5599
1588620420000,160.555,160.4
1588620480000,160.41,160.36
1588620540000,160.355,160.39
1588620600000,160.39,160.39
1588620660000,160.3977,160.4269
1588620720000,160.425,160.345
1588620780000,160.3439,160.35
1588620840000,160.3594,160.315
1588620900000,160.315,160.25
1588620960000,160.25,160.195
1588621020000,160.195,160.205
1588621080000,160.2,160.19
1588621140000,160.1999,160.215
1588621200000,160.2398,160.265
1588621260000,160.2698,160.265
1588621320000,160.26,160.2998
1588621380000,160.3001,160.3023
1588621440000,160.305,160.3102
1588621500000,160.32,160.31
1588621560000,160.305,160.31
1588621620000,160.305,160.28
1588621680000,160.275,160.3
1588621740000,160.3,160.315
1588621800000,160.31,160.3194
1588621860000,160.31,160.3
